house,load
23/02/2017 00:15,26
23/02/2017 00:30,25
23/02/2017 00:45,24
23/02/2017 01:00,23
23/02/2017 01:15,21
23/02/2017 01:30,22
23/02/2017 01:45,21
23/02/2017 02:00,21
23/02/2017 02:15,20
23/02/2017 02:30,21
23/02/2017 02:45,20
23/02/2017 03:00,20
23/02/2017 03:15,21
23/02/2017 03:30,20
23/02/2017 03:45,19
23/02/2017 04:00,20
23/02/2017 04:15,20
23/02/2017 04:30,21
23/02/2017 04:45,23
23/02/2017 05:00,25
23/02/2017 05:15,24
23/02/2017 05:30,27
23/02/2017 05:45,26
23/02/2017 06:00,26
23/02/2017 06:15,25
23/02/2017 06:30,24
23/02/2017 06:45,22
23/02/2017 07:00,21
23/02/2017 07:15,18
23/02/2017 07:30,17
23/02/2017 07:45,15
23/02/2017 08:00,13
23/02/2017 08:15,12
23/02/2017 08:30,9
23/02/2017 08:45,6
23/02/2017 09:00,6
23/02/2017 09:15,5
23/02/2017 09:30,4
23/02/2017 09:45,4
23/02/2017 10:00,9
23/02/2017 10:15,5
23/02/2017 10:30,1
23/02/2017 10:45,6
23/02/2017 11:00,2
23/02/2017 11:15,2
23/02/2017 11:30,1
23/02/2017 11:45,1
23/02/2017 12:00,1
23/02/2017 12:15,1
23/02/2017 12:30,1
23/02/2017 12:45,1
23/02/2017 13:00,2
23/02/2017 13:15,3
23/02/2017 13:30,3
23/02/2017 13:45,3
23/02/2017 14:00,3
23/02/2017 14:15,4
23/02/2017 14:30,5
23/02/2017 14:45,8
23/02/2017 15:00,8
23/02/2017 15:15,9
23/02/2017 15:30,9
23/02/2017 15:45,13
23/02/2017 16:00,13
23/02/2017 16:15,14
23/02/2017 16:30,15
23/02/2017 16:45,16
23/02/2017 17:00,17
23/02/2017 17:15,19
23/02/2017 17:30,20
23/02/2017 17:45,20
23/02/2017 18:00,20
23/02/2017 18:15,24
23/02/2017 18:30,27
23/02/2017 18:45,30
23/02/2017 19:00,31
23/02/2017 19:15,32
23/02/2017 19:30,33
23/02/2017 19:45,33
23/02/2017 20:00,34
23/02/2017 20:15,37
23/02/2017 20:30,37
23/02/2017 20:45,36
23/02/2017 21:00,36
23/02/2017 21:15,35
23/02/2017 21:30,36
23/02/2017 21:45,37
23/02/2017 22:00,36
23/02/2017 22:15,34
23/02/2017 22:30,34
23/02/2017 22:45,32
23/02/2017 23:00,32
23/02/2017 23:15,32
23/02/2017 23:30,32
23/02/2017 23:45,31
24/02/2017 00:00,30
